plant,OptimalSoilDepth,AbsoluteSoilDepth,MinOptimalTemperature,MaxOptiomalTempreture,MinAbsoluteTemperature,MaxAbsoluteTemperature,OptimalSoilTexture,AbsoluteSoilTexture,OptimalRainfallMin,OptimalRainfallMax,AbsoluteRainfallMin,AbsoluteRainfallMax,OptimalSoilFertility,AbsoluteSoilFertility,OptimalLatitudeMin,OptimalLatitudeMax,AbsoluteLatitudeMin,AbsoluteLatitudeMax,OptimalSoilSalinity,AbsoluteSoilSalinity,OptimalSoilPhMin,OptimalSoilPhMax,AbsoluteSoilMin,AbsoluteSoilMax,OptimalSoilDrainage,AbsoluteSoilDrainage,OptimalLightIntensityMin,OptimalLightIntensityMax,AbsoluteLightIntensityMin,AbsuluteLightIntensityMax,ClimateZone,PhotoPeriod,MinCropCycle,MaxCropCycle
Tamarix chinensis,medium (50-150 cm),shallow (20-50 cm),20,38,5,50,light,"medium, light",400,750,100,850,moderate,low,-,-,-,-,medium (4-10 dS/m),high (>10 dS/m)),6.5,8,6,8.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate continental (Dc)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,180
Tamarix gallica,,,-,-,-,-,,,-,-,-,-,,,30,20,45,55,,,-,-,-,-,,,,,,,"subtropical dry summer (Cs), temperate oceanic (Do)",,0,0
Tamus communis,,,-,-,-,-,,,-,-,-,-,,,30,20,50,60,,,-,-,-,-,,,,,,,,,0,0
Tanacetum vulgare,,,-,-,-,-,medium,wide,-,-,-,-,,,-,-,-,-,,,-,-,-,-,well (dry spells),well (dry spells),very bright,very bright,clear skies,very bright,"subtropical dry summer (Cs), temperate oceanic (Do)",,0,0
Taraxacum officinale,shallow (20-50 cm),shallow (20-50 cm),14,22,5,26,"heavy, medium, light","heavy, medium, light",500,1000,300,2700,moderate,low,40,-,55,60,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,8.3,well (dry spells),well (dry spells),very bright,cloudy skies,very bright,light shade,"tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),90,180
Tarchonanthus camphoratus,medium (50-150 cm),shallow (20-50 cm),17,33,8,38,"heavy, medium, light","heavy, medium, light",300,600,150,800,moderate,low,-,-,30,35,low (<4 dS/m),medium (4-10 dS/m),5.5,6.5,5,7,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",90,210
Taxodium distichum,deep (>>150 cm),medium (50-150 cm),20,30,8,34,"heavy, medium, light","heavy, medium, light",1200,1400,1000,1600,high,moderate,24,24,36,36,low (<4 dS/m),medium (4-10 dS/m),5.5,7,4.5,8.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)",long day (>14 hours),300,365
Taxus baccata,,,-,-,-,-,,,-,-,-,-,,,40,35,60,65,,,-,-,-,-,,,,,,,temperate oceanic (Do),,0,0
Tecoma stans,deep (>>150 cm),medium (50-150 cm),15,25,10,35,"heavy, medium","heavy, medium, light, wide",500,700,400,800,high,moderate,-,-,20,25,low (<4 dS/m),low (<4 dS/m),6,8.5,5.5,9,well (dry spells),well (dry spells),very bright,very bright,clear skies,very bright,"tropical wet & dry (Aw), steppe or semiarid (Bs)",,0,0
Tectona grandis,deep (>>150 cm),medium (50-150 cm),22,32,14,43,medium,"heavy, medium",1200,3000,500,4000,high,moderate,10,10,25,25,low (<4 dS/m),low (<4 dS/m),6,7.5,4.5,8.5,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs)",short day (<12 hours),180,270
Telfairia occidentalis,medium (50-150 cm),shallow (20-50 cm),21,30,19,38,"medium, organic","heavy, medium, light",1900,2200,1500,2700,high,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),5,6,4.5,7,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,light shade,very bright,heavy shade,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),80,270
Telfairia pedata,medium (50-150 cm),shallow (20-50 cm),23,28,14,38,"heavy, medium, light","heavy, medium, light",1500,2000,1200,2500,high,low,-,-,20,20,low (<4 dS/m),low (<4 dS/m),5.5,6,5,7,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,cloudy skies,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)",short day (<12 hours),240,270
Tephrosia bracteolata,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Tephrosia candida,shallow (20-50 cm),shallow (20-50 cm),20,30,14,34,light,"medium, light",1400,1800,700,2700,low,low,-,-,20,35,low (<4 dS/m),low (<4 dS/m),4.5,6.5,3.5,7.5,"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,cloudy skies,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)",short day (<12 hours),180,365
Tephrosia linearis,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Tephrosia lupinifolia,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Tephrosia obcordata,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Tephrosia platycarpa,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Tephrosia purpurea,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Tephrosia vogelii,deep (>>150 cm),medium (50-150 cm),20,28,10,32,light,"medium, light",1300,1500,870,2700,high,low,-,-,15,20,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)",short day (<12 hours),180,365
Teramnus labialis,medium (50-150 cm),medium (50-150 cm),17,27,10,36,"heavy, medium, light, wide","heavy, medium, light, wide",750,1500,500,2500,moderate,moderate,10,-,25,29,,,6,8,5,9,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",cloudy skies,very bright,light shade,very bright,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)",short day (<12 hours),0,0
Teramnus micans,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Teramnus uncinatus,medium (50-150 cm),shallow (20-50 cm),24,30,18,36,"heavy, medium, light, wide","heavy, medium, light, wide",1000,3000,750,3500,moderate,low,-,-,20,22,,,5.5,6.5,5,7,well (dry spells),well (dry spells),clear skies,very bright,cloudy skies,very bright,"tropical wet & dry (Aw), tropical wet (Ar)",,120,180
Teramnus volubilis,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Terminalia arjuna,medium (50-150 cm),medium (50-150 cm),20,33,5,47,medium,"medium, light",1000,1500,750,1800,high,moderate,5,5,20,20,low (<4 dS/m),low (<4 dS/m),5.5,6,5,7,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,tropical wet & dry (Aw),short day (<12 hours),240,365
Terminalia arostrata,medium (50-150 cm),shallow (20-50 cm),22,38,12,45,heavy,"heavy, medium",400,650,250,800,moderate,low,14,14,20,20,low (<4 dS/m),low (<4 dS/m),5,6,4.5,6.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), steppe or semiarid (Bs)",short day (<12 hours),100,230
Terminalia bellirica,deep (>>150 cm),medium (50-150 cm),20,33,5,45,"heavy, medium, light, wide","heavy, medium, light, wide",1500,2500,1000,3500,moderate,moderate,-,-,-,-,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,very bright,clear skies,very bright,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),180,240
Terminalia brassii,deep (>>150 cm),medium (50-150 cm),28,34,20,38,"heavy, medium","heavy, medium",3000,4000,2000,5000,moderate,,4,4,10,10,low (<4 dS/m),low (<4 dS/m),4.5,5.5,4,6.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,tropical wet (Ar),short day (<12 hours),300,365
Terminalia brownii,deep (>>150 cm),medium (50-150 cm),14,24,7,32,"medium, light","medium, light",500,1300,400,1500,moderate,moderate,-,-,15,17,low (<4 dS/m),low (<4 dS/m),5.5,7,5,7.5,well (dry spells),well (dry spells),clear skies,very bright,clear skies,very bright,"tropical wet & dry (Aw), steppe or semiarid (Bs)",,365,365
Terminalia calamansanai,deep (>>150 cm),medium (50-150 cm),28,34,18,38,"heavy, medium","heavy, medium",3000,4000,2000,5000,high,moderate,-,-,10,10,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.5,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,tropical wet (Ar),short day (<12 hours),300,365
Terminalia catappa,medium (50-150 cm),shallow (20-50 cm),21,32,10,36,light,"heavy, medium, light",1500,3400,700,4200,high,low,-,-,10,15,low (<4 dS/m),medium (4-10 dS/m),5,7,4.3,8,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,cloudy skies,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),300,365
Terminalia chebula,deep (>>150 cm),medium (50-150 cm),22,35,5,47,"heavy, medium, light","heavy, medium, light",1000,1700,750,3300,moderate,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),150,240
Terminalia ivorensis,deep (>>150 cm),medium (50-150 cm),24,30,20,34,"medium, light","medium, light",1600,2700,1200,3000,moderate,low,4,4,11,11,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,tropical wet (Ar),short day (<12 hours),300,365
Terminalia mantaly,deep (>>150 cm),medium (50-150 cm),20,28,15,36,"medium, light","medium, light",500,1200,300,1500,moderate,moderate,-,-,15,15,low (<4 dS/m),low (<4 dS/m),5.5,7,5,7.5,well (dry spells),well (dry spells),clear skies,very bright,clear skies,very bright,"tropical wet & dry (Aw), steppe or semiarid (Bs)",,365,365
Terminalia myriocarpa,deep (>>150 cm),medium (50-150 cm),22,32,7,39,medium,"heavy, medium",3000,4000,2000,5500,high,moderate,10,10,30,30,low (<4 dS/m),low (<4 dS/m),5,6,4.5,7,well (dry spells),well (dry spells),very bright,cloudy skies,very bright,light shade,tropical wet & dry (Aw),short day (<12 hours),150,270
Terminalia paniculata,deep (>>150 cm),medium (50-150 cm),22,30,13,39,"heavy, medium, light","heavy, medium, light",2000,3000,1000,5000,moderate,moderate,-,-,-,-,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.5,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,tropical wet & dry (Aw),short day (<12 hours),150,300
Terminalia prunioides,deep (>>150 cm),shallow (20-50 cm),20,35,15,40,light,light,450,900,400,1000,moderate,low,-,-,30,30,low (<4 dS/m),medium (4-10 dS/m),6,8,5.5,8.5,,,very bright,very bright,very bright,very bright,"tropical wet & dry (Aw), steppe or semiarid (Bs)",,365,365
Terminalia sericocarpa,medium (50-150 cm),shallow (20-50 cm),22,38,12,45,light,"medium, light",850,1900,600,2100,low,low,12,10,22,24,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,tropical wet & dry (Aw),short day (<12 hours),210,330
Terminalia superba,deep (>>150 cm),medium (50-150 cm),22,30,18,36,medium,"heavy, medium, light, wide",1200,1800,1000,2000,high,low,-,-,10,22,low (<4 dS/m),low (<4 dS/m),6.5,7.5,6,8.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),270,330
Terminalia tomentosa,deep (>>150 cm),shallow (20-50 cm),22,35,5,48,"heavy, medium","heavy, medium, light",1000,2000,750,3800,high,moderate,-,-,-,-,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),180,210
Terminalia volucris,medium (50-150 cm),shallow (20-50 cm),22,38,12,44,heavy,"heavy, medium, light",600,850,400,950,low,low,14,12,18,20,low (<4 dS/m),low (<4 dS/m),5,6,4.5,6.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), steppe or semiarid (Bs)",short day (<12 hours),140,300
Tetrachne dregei,medium (50-150 cm),shallow (20-50 cm),14,20,8,24,light,light,350,650,300,700,moderate,moderate,26,25,34,35,,,7,7.5,6.5,8,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",clear skies,very bright,cloudy skies,very bright,"steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc)",,0,0
Tetragonia tetragonioides,medium (50-150 cm),shallow (20-50 cm),19,28,10,36,"light, organic","medium, light",900,1200,700,3000,moderate,low,20,-,40,40,low (<4 dS/m),medium (4-10 dS/m),6.5,7,6,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,cloudy skies,"subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),120,270
Tetrapleura tetraptera,deep (>>150 cm),deep (>>150 cm),25,30,20,35,"medium, light","medium, light",1700,3000,1200,5000,moderate,low,5,5,12,15,low (<4 dS/m),low (<4 dS/m),4.5,6.5,4,7,well (dry spells),well (dry spells),clear skies,very bright,clear skies,very bright,tropical wet (Ar),,365,365
Teucrium chameadrys,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,cloudy skies,very bright,"subtropical dry summer (Cs), temperate continental (Dc)",,0,0
Teucrium polium,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Thaumatococcus daniellii,shallow (20-50 cm),shallow (20-50 cm),21,30,15,35,"heavy, medium","heavy, medium",1700,2300,1300,2700,moderate,moderate,5,5,10,10,low (<4 dS/m),low (<4 dS/m),4.5,5,4.3,7,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),240,300
Themeda australis,medium (50-150 cm),medium (50-150 cm),15,25,4,35,"heavy, medium, light","heavy, medium, light",450,1250,400,1500,low,low,-,-,32,40,low (<4 dS/m),low (<4 dS/m),6.5,7,6,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,cloudy skies,very bright,light shade,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,180
Themeda quadrivalis,medium (50-150 cm),shallow (20-50 cm),22,28,15,35,medium,medium,700,1500,500,1750,moderate,low,17,17,28,28,low (<4 dS/m),low (<4 dS/m),7,8.5,6.5,9,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), steppe or semiarid (Bs)",short day (<12 hours),90,150
Themeda triandra,medium (50-150 cm),shallow (20-50 cm),22,28,15,35,"heavy, medium, light","heavy, medium, light",500,1100,450,6250,moderate,low,-,-,30,30,low (<4 dS/m),low (<4 dS/m),6.5,7,5.5,7.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,cloudy skies,very bright,light shade,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,210
Theobroma bicolor,deep (>>150 cm),medium (50-150 cm),22,28,10,35,"heavy, medium, light, organic","heavy, medium, light",1500,2000,1100,2500,moderate,moderate,-,-,20,20,low (<4 dS/m),low (<4 dS/m),5,6,4.5,8.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",clear skies,light shade,very bright,heavy shade,"tropical wet & dry (Aw), tropical wet (Ar)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",240,300
Theobroma cacao,deep (>>150 cm),medium (50-150 cm),21,32,10,38,"heavy, organic","heavy, medium, light",1200,3000,900,7600,moderate,moderate,-,-,10,20,low (<4 dS/m),low (<4 dS/m),5,6.5,4,8,well (dry spells),well (dry spells),clear skies,light shade,very bright,heavy shade,"tropical wet & dry (Aw), tropical wet (Ar)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,365
Theobroma grandiflorum,deep (>>150 cm),medium (50-150 cm),22,32,10,40,"heavy, medium, light, organic","heavy, medium, light",2000,2400,1500,4000,moderate,moderate,-,-,15,18,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,8.5,well (dry spells),well (dry spells),clear skies,light shade,very bright,heavy shade,"tropical wet & dry (Aw), tropical wet (Ar)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,365
Thespesia populnea,deep (>>150 cm),medium (50-150 cm),20,30,10,35,light,"medium, light",1000,3000,800,5000,low,low,-,-,25,40,medium (4-10 dS/m),high (>10 dS/m)),6.5,8,6,8.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",clear skies,very bright,cloudy skies,very bright,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)",,365,365
Thuja occidentalis,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Thymus maroccanus,shallow (20-50 cm),shallow (20-50 cm),16,24,5,30,"medium, light","heavy, medium, light, wide",500,800,400,1000,moderate,low,27,15,34,35,,,6.5,7.5,6,8,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",clear skies,very bright,cloudy skies,very bright,"steppe or semiarid (Bs), subtropical dry summer (Cs)",,0,0
Thymus serpyllum,medium (50-150 cm),shallow (20-50 cm),11,22,4,26,light,"medium, light",700,900,500,1200,low,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),5,6,4.5,7.8,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc)",long day (>14 hours),120,180
Thymus syriacus,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Thymus vulgaris,medium (50-150 cm),shallow (20-50 cm),16,25,4,30,medium,"medium, light",700,1500,400,2600,high,moderate,30,20,50,60,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,8,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),100,200
Thyrsostachys siamensis,deep (>>150 cm),medium (50-150 cm),20,29,15,34,heavy,heavy,1000,2000,600,4500,high,moderate,15,-,25,40,low (<4 dS/m),low (<4 dS/m),6,6.5,5.5,7,poorly (saturated >50% of year),"poorly (saturated >50% of year), well (dry spells)",clear skies,cloudy skies,clear skies,light shade,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),300,365
Thysanolaena latifolia,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Tilia cordata,deep (>>150 cm),medium (50-150 cm),12,22,5,28,medium,"heavy, medium",500,700,400,800,high,moderate,45,40,60,65,low (<4 dS/m),low (<4 dS/m),6.5,7.5,6,8,well (dry spells),well (dry spells),clear skies,very bright,light shade,very bright,"subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc)",,0,0
Tilia platyphyllos,deep (>>150 cm),deep (>>150 cm),-,-,-,-,medium,"heavy, medium",-,-,-,-,high,moderate,-,-,-,-,,,-,-,-,-,well (dry spells),well (dry spells),,,,,"subtropical dry summer (Cs), temperate continental (Dc)",,0,0
Tipuana tipu,medium (50-150 cm),shallow (20-50 cm),14,28,8,38,medium,"heavy, medium",700,900,600,1000,high,moderate,-,-,35,43,low (<4 dS/m),low (<4 dS/m),5.5,7,5,7.5,well (dry spells),well (dry spells),clear skies,very bright,clear skies,very bright,"tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs)",,365,365
Tithonia diversifolia,,,15,31,12,38,,,1000,2000,700,2500,,,-,-,20,25,,,-,-,-,-,,,,,,,,,0,0
Toona australis,deep (>>150 cm),medium (50-150 cm),18,28,8,36,"medium, light","medium, light",1200,3000,800,3800,high,moderate,13,13,35,35,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,300
Toona ciliata,deep (>>150 cm),medium (50-150 cm),18,34,8,48,"medium, light","heavy, medium, light, wide, organic",1100,3000,750,4500,high,moderate,17,15,25,30,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),180,300
Toona serrata,deep (>>150 cm),medium (50-150 cm),30,38,5,45,"medium, light","medium, light",1200,2500,1000,3000,high,moderate,10,-,30,40,low (<4 dS/m),low (<4 dS/m),4.5,5.5,4,6.5,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",short day (<12 hours),150,180
Trachypogon spicatus,medium (50-150 cm),very shallow (<20 cm),20,26,16,39,light,"light, organic",600,1300,450,1500,moderate,low,15,10,35,40,,,5.5,6.5,4.5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",clear skies,very bright,cloudy skies,very bright,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf)",,0,0
Trachyspermum ammi,medium (50-150 cm),shallow (20-50 cm),16,24,10,30,medium,"heavy, medium, light",800,1000,700,1100,moderate,low,-,-,30,35,low (<4 dS/m),low (<4 dS/m),6.5,7.5,6,8,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), subtropical dry summer (Cs)",short day (<12 hours),150,180
Tradescantia virginiana,,,-,-,-,-,wide,wide,-,-,-,-,,,-,-,-,-,,,-,-,-,-,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",cloudy skies,very bright,light shade,very bright,"subtropical dry summer (Cs), temperate oceanic (Do)",,0,0
Tragopogon porrifolius,medium (50-150 cm),shallow (20-50 cm),13,19,2,24,"medium, organic","heavy, medium, light",600,900,400,1100,high,moderate,40,35,55,60,low (<4 dS/m),low (<4 dS/m),6.5,7.5,6,8,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",clear skies,cloudy skies,very bright,cloudy skies,"steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do)",long day (>14 hours),120,180
Tragopogon pratensis,,,-,-,-,-,,,-,-,-,-,,,38,35,60,64,,,-,-,-,-,,,,,,,"subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc)",,0,0
Tragus koelerioides,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Trapa natans,shallow (20-50 cm),shallow (20-50 cm),15,25,10,35,heavy,"heavy, medium, light, wide, organic",500,1200,300,1600,high,moderate,40,5,53,55,low (<4 dS/m),low (<4 dS/m),5.5,7.5,5,8.2,poorly (saturated >50% of year),poorly (saturated >50% of year),clear skies,very bright,cloudy skies,very bright,"tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc)",,0,0
Trema orientalis,medium (50-150 cm),shallow (20-50 cm),15,27,8,34,"heavy, medium, light, wide, organic","heavy, medium, light, wide, organic",1500,3000,1000,4000,high,low,5,5,30,35,low (<4 dS/m),medium (4-10 dS/m),5.5,6.5,4.5,7.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,300
Trewia nudiflora,deep (>>150 cm),medium (50-150 cm),25,37,12,42,"medium, light","heavy, medium, light",2000,4000,1000,5100,high,,10,10,30,30,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),240,300
Trichanthera gigantea,medium (50-150 cm),medium (50-150 cm),27,33,20,38,"heavy, medium, light, wide","heavy, medium, light, wide",1500,3000,1000,5000,moderate,low,-,-,-,-,,,5,6.5,4.5,7,well (dry spells),well (dry spells),cloudy skies,very bright,light shade,very bright,"tropical wet & dry (Aw), tropical wet (Ar)",,0,0
Tricholaena capensis,medium (50-150 cm),shallow (20-50 cm),18,30,7,40,light,"heavy, medium, light, wide",250,400,150,500,moderate,low,22,20,33,35,,,6,8,5.5,8.5,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",clear skies,very bright,cloudy skies,very bright,"desert or arid (Bw), steppe or semiarid (Bs)",,0,0
